Status	Gene_ID	Location	NR_blast_Eval	NR_hit	SP_blast_Eval	SP_hit
coding	CHS.38155	chr3:122171364-122172955:-	2e-33	AAB61715.1, unknown [Homo sapiens]	1.64e-31	sp|Q96MW7|TIGD1_HUMAN, Tigger transposable element-derived protein 1 OS=Homo sapiens GN=TIGD1 PE=1 SV=1
non-coding	CHS.38202	chr3:124749276-124752220:-	7e-42	AAP34472.1, LP3428 [Homo sapiens]	-	-
discard	CHS.38203	chr3:124749750-124752064:+	2e-51	EAW93653.1, hCG2038420, partial [Homo sapiens]	-	-
discard	CHS.3823	chr1:178653453-178655214:+	2e-16	CCO13814.1, alternative protein SKA1 [Homo sapiens]	-	-
non-coding	CHS.38327	chr3:129197515-129203358:+	1e-34	BAH12795.1, unnamed protein product [Homo sapiens]	7.79e-22	sp|Q86U02|CN165_HUMAN, Putative uncharacterized protein encoded by LINC00596 OS=Homo sapiens GN=LINC00596 PE=5 SV=1
non-coding	CHS.38339	chr3:129361089-129379978:-	2e-45	AAP34472.1, LP3428 [Homo sapiens]	-	-
discard	CHS.38341	chr3:129361090-129363172:+	5e-31	EAW93653.1, hCG2038420, partial [Homo sapiens]	-	-
non-coding	CHS.38342	chr3:129365695-129377229:+	4e-24	EAW55411.1, hCG1979495 [Homo sapiens]	-	-
non-coding	CHS.38430	chr3:134342685-134343014:+	5e-19	BAE90965.1, unnamed protein product [Macaca fascicularis]	-	-
discard	CHS.38460	chr3:137011185-137191324:+	1e-15	BAC04924.1, unnamed protein product [Homo sapiens]	-	-
coding	CHS.38532	chr3:141448741-141456436:-	2e-55	EAW79001.1, hCG2044139 [Homo sapiens]	-	-
non-coding	CHS.38592	chr3:146251343-146251733:+	1e-40	BAE91091.1, unnamed protein product [Macaca fascicularis]	7.74e-25	sp|Q6UX73|CP089_HUMAN, UPF0764 protein C16orf89 OS=Homo sapiens GN=C16orf89 PE=1 SV=2
discard	CHS.3875	chr1:181067646-181071118:-	9e-23	EAW72525.1, hCG2042309, partial [Homo sapiens]	-	-
non-coding	CHS.38858	chr3:163481757-163532942:+	2e-24	EHH31407.1, hypothetical protein EGK_12471, partial [Macaca mulatta]	3.96e-22	sp|Q8N7I0|GVQW1_HUMAN, Protein GVQW1 OS=Homo sapiens GN=GVQW1 PE=2 SV=1
non-coding	CHS.39051	chr3:179535416-179536095:+	4e-37	BAB93502.1, OK/SW-CL.41 [Homo sapiens]	4.11e-33	sp|Q8N2A0|CX062_HUMAN, Putative uncharacterized protein encoded by LINC00269 OS=Homo sapiens GN=LINC00269 PE=5 SV=1
discard	CHS.3906	chr1:182372022-182376692:-	3e-40	EHH20863.1, hypothetical protein EGK_03802, partial [Macaca mulatta]	1.10e-35	sp|Q8N2A0|CX062_HUMAN, Putative uncharacterized protein encoded by LINC00269 OS=Homo sapiens GN=LINC00269 PE=5 SV=1
discard	CHS.39082	chr3:181925349-181932073:+	9e-80	EAW57759.1, hCG2038827, partial [Homo sapiens]	-	-
discard	CHS.39136	chr3:184197186-184199400:+	5e-42	CAD69798.1, unnamed protein product [Homo sapiens]	-	-
non-coding	CHS.39210	chr3:186923463-186924293:-	5e-43	EHH18371.1, hypothetical protein EGK_14950, partial [Macaca mulatta]	4.54e-35	sp|Q8N7I0|GVQW1_HUMAN, Protein GVQW1 OS=Homo sapiens GN=GVQW1 PE=2 SV=1
non-coding	CHS.39304	chr3:192112396-192125007:-	1e-47	CAF14840.1, unnamed protein product, partial [Homo sapiens]	-	-
discard	CHS.39416	chr3:195915874-195920981:-	3e-42	EHH55556.1, hypothetical protein EGM_04788, partial [Macaca fascicularis]	8.31e-32	sp|Q8N2A0|CX062_HUMAN, Putative uncharacterized protein encoded by LINC00269 OS=Homo sapiens GN=LINC00269 PE=5 SV=1
discard	CHS.39430	chr3:196175067-196179494:+	5e-28	EHH18962.1, hypothetical protein EGK_19562, partial [Macaca mulatta]	1.93e-22	sp|Q86U02|CN165_HUMAN, Putative uncharacterized protein encoded by LINC00596 OS=Homo sapiens GN=LINC00596 PE=5 SV=1
non-coding	CHS.39472	chr3:196968924-196982199:+	2e-34	EAW81162.1, hCG1814203 [Homo sapiens]	4.53e-23	sp|Q8N2A0|CX062_HUMAN, Putative uncharacterized protein encoded by LINC00269 OS=Homo sapiens GN=LINC00269 PE=5 SV=1
discard	CHS.39542	chr3_KI270784v1_alt:39711-45612:-	1e-20	EHH16558.1, hypothetical protein EGK_11851, partial [Macaca mulatta]	3.62e-17	sp|Q86U02|CN165_HUMAN, Putative uncharacterized protein encoded by LINC00596 OS=Homo sapiens GN=LINC00596 PE=5 SV=1
discard	CHS.39684	chr4:2053592-2058612:+	2e-30	EHH18952.1, hypothetical protein EGK_19543, partial [Macaca mulatta]	9.90e-19	sp|Q86U02|CN165_HUMAN, Putative uncharacterized protein encoded by LINC00596 OS=Homo sapiens GN=LINC00596 PE=5 SV=1
coding	CHS.39738	chr4:3641596-3645001:+	4e-165	XP_016882996.1, PREDICTED: uncharacterized protein LOC107987263 [Homo sapiens]	-	-
coding	CHS.39793	chr4:6245683-6255849:+	6e-29	EAW82399.1, hCG1761133 [Homo sapiens]	-	-
coding	CHS.39891	chr4:9374626-9381368:-	3e-24	EAW88631.1, hCG2005545 [Homo sapiens]	-	-
non-coding	CHS.39894	chr4:9593557-9628219:-	1e-26	EHH60270.1, hypothetical protein EGM_11598, partial [Macaca fascicularis]	7.29e-21	sp|Q8N976|YG039_HUMAN, Putative uncharacterized protein FLJ38264 OS=Homo sapiens PE=5 SV=1
non-coding	CHS.39902	chr4:10059616-10067732:-	4e-23	EHH20863.1, hypothetical protein EGK_03802, partial [Macaca mulatta]	3.33e-18	sp|Q8N2A0|CX062_HUMAN, Putative uncharacterized protein encoded by LINC00269 OS=Homo sapiens GN=LINC00269 PE=5 SV=1
discard	CHS.40133	chr4:29938183-29957142:+	1e-20	EHH15638.1, hypothetical protein EGK_01753, partial [Macaca mulatta]	1.20e-19	sp|Q8N2A0|CX062_HUMAN, Putative uncharacterized protein encoded by LINC00269 OS=Homo sapiens GN=LINC00269 PE=5 SV=1
coding	CHS.40137	chr4:30718805-30721970:-	8e-31	EPQ17012.1, hypothetical protein D623_10022276 [Myotis brandtii]	-	-
coding	CHS.40154	chr4:33565671-33572485:+	3e-38	EAW92869.1, hCG2041968, partial [Homo sapiens]	-	-
discard	CHS.40173	chr4:36787530-36835535:-	8e-27	EHH23602.1, hypothetical protein EGK_07095, partial [Macaca mulatta]	-	-
non-coding	CHS.40201	chr4:38271796-38279882:-	9e-41	EHH20232.1, hypothetical protein EGK_03041, partial [Macaca mulatta]	8.92e-39	sp|Q8N2A0|CX062_HUMAN, Putative uncharacterized protein encoded by LINC00269 OS=Homo sapiens GN=LINC00269 PE=5 SV=1
coding	CHS.40218	chr4:38783547-38787216:+	6e-21	CAF00903.1, unnamed protein product, partial [Homo sapiens]	-	-
discard	CHS.40227	chr4:39159153-39182206:-	1e-34	CAE89080.1, unnamed protein product [Homo sapiens]	8.98e-29	sp|Q8N2A0|CX062_HUMAN, Putative uncharacterized protein encoded by LINC00269 OS=Homo sapiens GN=LINC00269 PE=5 SV=1
discard	CHS.40284	chr4:42209055-42239304:+	1e-34	EHH59445.1, hypothetical protein EGM_09562, partial [Macaca fascicularis]	4.10e-29	sp|Q6UX73|CP089_HUMAN, UPF0764 protein C16orf89 OS=Homo sapiens GN=C16orf89 PE=1 SV=2
discard	CHS.40319	chr4:46124300-46167208:+	1e-16	BAE89731.1, unnamed protein product [Macaca fascicularis]	-	-
coding	CHS.40354	chr4:49093241-49099885:+	8e-43	ELR57875.1, hypothetical protein M91_02367, partial [Bos mutus]	-	-
coding	CHS.40355	chr4:49106407-49146184:+	3e-36	EFB25698.1, hypothetical protein PANDA_003603, partial [Ailuropoda melanoleuca]	-	-
coding	CHS.40356	chr4:49111969-49120632:-	7e-20	ELR44520.1, hypothetical protein M91_06754, partial [Bos mutus]	-	-
coding	CHS.40358	chr4:49150302-49150731:-	1e-20	CAF00752.1, unnamed protein product, partial [Homo sapiens]	-	-
non-coding	CHS.40362	chr4:49253030-49257837:+	4e-21	EHH27277.1, hypothetical protein EGK_17439, partial [Macaca mulatta]	8.27e-16	sp|Q86U02|CN165_HUMAN, Putative uncharacterized protein encoded by LINC00596 OS=Homo sapiens GN=LINC00596 PE=5 SV=1
coding	CHS.40365	chr4:49317829-49327248:+	6e-68	XP_008972665.1, PREDICTED: uncharacterized protein LOC103786519 [Pan paniscus]	-	-
coding	CHS.40366	chr4:49321186-49335310:-	3e-19	CAE92058.1, unnamed protein product [Homo sapiens]	-	-
coding	CHS.40369	chr4:49643145-49651520:+	3e-16	CAF00752.1, unnamed protein product, partial [Homo sapiens]	-	-
coding	CHS.40370	chr4:49644448-49648132:+	1e-19	CAF00752.1, unnamed protein product, partial [Homo sapiens]	-	-
discard	CHS.4038	chr1:192955836-192966208:+	4e-19	XP_012358326.1, PREDICTED: zinc finger protein 714-like [Nomascus leucogenys]	-	-
discard	CHS.40461	chr4:56633422-56641638:+	8e-29	BAC04924.1, unnamed protein product [Homo sapiens]	-	-
coding	CHS.40499	chr4:62454161-62455344:-	8e-32	CAF15110.1, unnamed protein product, partial [Homo sapiens]	-	-
discard	CHS.40504	chr4:63917932-63918807:-	9e-42	AAP34472.1, LP3428 [Homo sapiens]	-	-
non-coding	CHS.40672	chr4:74921296-74933349:-	3e-33	BAE91091.1, unnamed protein product [Macaca fascicularis]	4.98e-24	sp|Q6UX73|CP089_HUMAN, UPF0764 protein C16orf89 OS=Homo sapiens GN=C16orf89 PE=1 SV=2
non-coding	CHS.40741	chr4:78548288-78549057:+	2e-42	AAP34472.1, LP3428 [Homo sapiens]	-	-
non-coding	CHS.40791	chr4:82345981-82351002:+	5e-18	CAF17724.1, unnamed protein product, partial [Homo sapiens]	-	-
discard	CHS.40794	chr4:82415346-82419741:+	1e-24	EHH21769.1, hypothetical protein EGK_04905, partial [Macaca mulatta]	2.11e-24	sp|Q8N7I0|GVQW1_HUMAN, Protein GVQW1 OS=Homo sapiens GN=GVQW1 PE=2 SV=1
non-coding	CHS.40823	chr4:83403583-83407297:+	2e-39	BAC04924.1, unnamed protein product [Homo sapiens]	1.55e-23	sp|Q8WTZ3|YS049_HUMAN, Zinc finger protein ENSP00000375192 OS=Homo sapiens PE=2 SV=1
discard	CHS.4101	chr1:199077195-199081094:-	4e-27	EHH52072.1, hypothetical protein EGM_12441, partial [Macaca fascicularis]	1.20e-17	sp|Q96MD7|CI085_HUMAN, Uncharacterized protein C9orf85 OS=Homo sapiens GN=C9orf85 PE=1 SV=1
non-coding	CHS.411	chr1:11893729-11897490:+	1e-15	EAW64091.1, hCG1813943 [Homo sapiens]	-	-
discard	CHS.41156	chr4:115370228-115377003:+	1e-32	EHH20736.1, hypothetical protein EGK_03652, partial [Macaca mulatta]	1.77e-30	sp|Q8N2A0|CX062_HUMAN, Putative uncharacterized protein encoded by LINC00269 OS=Homo sapiens GN=LINC00269 PE=5 SV=1
discard	CHS.41227	chr4:121238037-121244857:+	7e-41	EAW51232.1, hCG1820357 [Homo sapiens]	-	-
non-coding	CHS.41325	chr4:128627785-128644268:-	9e-23	EHH16412.1, hypothetical protein EGK_11692, partial [Macaca mulatta]	8.07e-21	sp|Q6UX73|CP089_HUMAN, UPF0764 protein C16orf89 OS=Homo sapiens GN=C16orf89 PE=1 SV=2
coding	CHS.41343	chr4:130960426-130964254:+	1e-18	XP_017817320.1, PREDICTED: tigger transposable element-derived protein 1-like [Papio anubis]	-	-
coding	CHS.41347	chr4:131723338-131754026:+	1e-18	CAF01471.1, unnamed protein product, partial [Homo sapiens]	-	-
non-coding	CHS.4144	chr1:201448770-201451502:+	3e-31	EHH18952.1, hypothetical protein EGK_19543, partial [Macaca mulatta]	9.14e-25	sp|Q86U02|CN165_HUMAN, Putative uncharacterized protein encoded by LINC00596 OS=Homo sapiens GN=LINC00596 PE=5 SV=1
discard	CHS.4145	chr1:201461166-201464146:-	5e-18	CAE98832.1, unnamed protein product, partial [Homo sapiens]	-	-
discard	CHS.4148	chr1:201469293-201473093:+	5e-23	EAX00825.1, hCG1989288, partial [Homo sapiens]	2.36e-19	sp|Q6B4Z3|UTY_PANTR, Histone demethylase UTY OS=Pan troglodytes GN=UTY PE=2 SV=1
non-coding	CHS.41549	chr4:148444160-148490456:+	6e-30	BAC04924.1, unnamed protein product [Homo sapiens]	1.33e-16	sp|Q8WTZ3|YS049_HUMAN, Zinc finger protein ENSP00000375192 OS=Homo sapiens PE=2 SV=1
discard	CHS.41575	chr4:151390907-151391794:+	3e-43	AAP34472.1, LP3428 [Homo sapiens]	-	-
coding	CHS.41584	chr4:151988526-152045275:+	3e-22	XP_011904442.1, PREDICTED: uncharacterized protein LOC105580708 isoform X6 [Cercocebus atys]	-	-
discard	CHS.41700	chr4:159522681-159525304:+	1e-41	AAP34472.1, LP3428 [Homo sapiens]	-	-
discard	CHS.41733	chr4:165017605-165025641:-	5e-20	EAX05948.1, hCG2027609 [Homo sapiens]	-	-
discard	CHS.41795	chr4:170036196-170039342:-	6e-22	CAE98892.1, unnamed protein product, partial [Homo sapiens]	-	-
non-coding	CHS.41899	chr4:180787303-180830934:-	1e-30	BAH12795.1, unnamed protein product [Homo sapiens]	6.31e-17	sp|Q86U02|CN165_HUMAN, Putative uncharacterized protein encoded by LINC00596 OS=Homo sapiens GN=LINC00596 PE=5 SV=1
discard	CHS.41901	chr4:180943541-180944484:-	2e-41	AAP34472.1, LP3428 [Homo sapiens]	-	-
coding	CHS.41986	chr4:184964316-184977078:-	5e-41	ELR54554.1, hypothetical protein M91_02192, partial [Bos mutus]	-	-
coding	CHS.42068	chr4:189006940-189015041:-	3e-20	ELR54350.1, hypothetical protein M91_19196 [Bos mutus]	-	-
coding	CHS.42075	chr4:189305641-189310839:+	3e-38	EPY89343.1, hypothetical protein CB1_000114007 [Camelus ferus]	-	-
coding	CHS.42091	chr4_GL000008v2_random:116291-122561:-	2e-47	EAW55841.1, hCG2038218, partial [Homo sapiens]	-	-
discard	CHS.42093	chr4_GL000008v2_random:185413-208767:-	2e-35	EHH55734.1, hypothetical protein EGM_04997, partial [Macaca fascicularis]	9.53e-35	sp|Q8N2A0|CX062_HUMAN, Putative uncharacterized protein encoded by LINC00269 OS=Homo sapiens GN=LINC00269 PE=5 SV=1
coding	CHS.42185	chr5:1185599-1193825:-	2e-162	EAX08176.1, hCG2038677, partial [Homo sapiens]	-	-
discard	CHS.4219	chr1:203326927-203333751:+	3e-19	CAF15841.1, unnamed protein product, partial [Homo sapiens]	-	-
discard	CHS.42191	chr5:1345184-1356092:+	8e-26	EHH59533.1, hypothetical protein EGM_09670, partial [Macaca fascicularis]	-	-
coding	CHS.42201	chr5:1556828-1561482:-	4e-109	EAX08152.1, hCG1820580 [Homo sapiens]	-	-
coding	CHS.42207	chr5:1639622-1641019:-	3e-25	EAW92237.1, hCG2045553 [Homo sapiens]	-	-
discard	CHS.42226	chr5:2015523-2017579:+	2e-31	CAJ42752.1, unnamed protein product [Homo sapiens]	-	-
non-coding	CHS.42233	chr5:2558680-2561480:+	6e-29	BAB21923.1, hypothetical protein [Macaca fascicularis]	-	-
discard	CHS.4228	chr1:203518601-203521985:-	4e-32	EAW97718.1, 5'-nucleotidase domain containing 3, isoform CRA_d [Homo sapiens]	-	-
non-coding	CHS.4230	chr1:203523035-203556246:-	6e-30	EHH64647.1, hypothetical protein EGM_17921, partial [Macaca fascicularis]	7.12e-22	sp|Q6UX73|CP089_HUMAN, UPF0764 protein C16orf89 OS=Homo sapiens GN=C16orf89 PE=1 SV=2
discard	CHS.4237	chr1:203854501-203857849:+	4e-31	EHH60270.1, hypothetical protein EGM_11598, partial [Macaca fascicularis]	1.44e-22	sp|Q96MD7|CI085_HUMAN, Uncharacterized protein C9orf85 OS=Homo sapiens GN=C9orf85 PE=1 SV=1
discard	CHS.4241	chr1:203918583-203919824:+	1e-81	AAK21302.1, FKSG49 [Homo sapiens]	-	-
discard	CHS.4244	chr1:204065509-204069807:+	2e-28	EHH59533.1, hypothetical protein EGM_09670, partial [Macaca fascicularis]	5.55e-18	sp|Q8WTZ3|YS049_HUMAN, Zinc finger protein ENSP00000375192 OS=Homo sapiens PE=2 SV=1
non-coding	CHS.42518	chr5:30197951-30215835:+	3e-21	CAE92120.1, unnamed protein product [Homo sapiens]	-	-
discard	CHS.42522	chr5:31081183-31087175:-	3e-18	EAW54808.1, hCG2038449, partial [Homo sapiens]	-	-
discard	CHS.42526	chr5:31363490-31386938:+	1e-23	CAF01537.1, unnamed protein product, partial [Homo sapiens]	-	-
non-coding	CHS.42538	chr5:32204281-32213665:+	8e-35	AAM46782.1, hepatocellular carcinoma-associated antigen HCA25a [Homo sapiens]	-	-
coding	CHS.42556	chr5:33365206-33380302:-	9e-18	XP_017817320.1, PREDICTED: tigger transposable element-derived protein 1-like [Papio anubis]	-	-
discard	CHS.42582	chr5:34900558-34904509:-	5e-54	AAG35515.1, PRO2550 [Homo sapiens]	2.40e-33	sp|Q8N7I0|GVQW1_HUMAN, Protein GVQW1 OS=Homo sapiens GN=GVQW1 PE=2 SV=1
discard	CHS.42598	chr5:35592888-35608650:-	5e-41	EHH60270.1, hypothetical protein EGM_11598, partial [Macaca fascicularis]	3.25e-34	sp|Q8N2A0|CX062_HUMAN, Putative uncharacterized protein encoded by LINC00269 OS=Homo sapiens GN=LINC00269 PE=5 SV=1
discard	CHS.42715	chr5:42248388-42270876:-	6e-22	EAW60027.1, hCG1820543 [Homo sapiens]	-	-
coding	CHS.42769	chr5:47524344-47526458:+	2e-31	EGV91149.1, hypothetical protein I79_026257 [Cricetulus griseus]	-	-
coding	CHS.42770	chr5:49601095-49603132:+	3e-20	CAF00752.1, unnamed protein product, partial [Homo sapiens]	-	-
coding	CHS.42772	chr5:49611408-49614603:-	1e-32	EGV91149.1, hypothetical protein I79_026257 [Cricetulus griseus]	-	-
coding	CHS.42773	chr5:49616430-49633415:-	3e-32	EGV91149.1, hypothetical protein I79_026257 [Cricetulus griseus]	-	-
coding	CHS.42774	chr5:49623051-49627087:-	5e-30	EGV91149.1, hypothetical protein I79_026257 [Cricetulus griseus]	-	-
coding	CHS.42775	chr5:49643669-49646560:-	9e-32	EGV91149.1, hypothetical protein I79_026257 [Cricetulus griseus]	-	-
coding	CHS.42777	chr5:49656374-49660501:-	7e-22	CAF00752.1, unnamed protein product, partial [Homo sapiens]	-	-
non-coding	CHS.42822	chr5:54656656-54657056:+	7e-31	EHH16997.1, hypothetical protein EGK_13278, partial [Macaca mulatta]	1.69e-22	sp|Q86U02|CN165_HUMAN, Putative uncharacterized protein encoded by LINC00596 OS=Homo sapiens GN=LINC00596 PE=5 SV=1
discard	CHS.42836	chr5:55214248-55218498:+	1e-28	EHH61346.1, hypothetical protein EGM_19342, partial [Macaca fascicularis]	8.27e-20	sp|Q8N976|YG039_HUMAN, Putative uncharacterized protein FLJ38264 OS=Homo sapiens PE=5 SV=1
non-coding	CHS.42859	chr5:56013914-56015998:-	8e-43	AAP34472.1, LP3428 [Homo sapiens]	-	-
discard	CHS.43041	chr5:68322491-68332679:-	5e-42	EAW51232.1, hCG1820357 [Homo sapiens]	-	-
non-coding	CHS.43117	chr5:72063669-72064545:+	2e-16	EHH15918.1, hypothetical protein EGK_02088, partial [Macaca mulatta]	-	-
non-coding	CHS.43127	chr5:72532126-72532814:-	7e-32	EHH20232.1, hypothetical protein EGK_03041, partial [Macaca mulatta]	1.03e-22	sp|Q8WTZ3|YS049_HUMAN, Zinc finger protein ENSP00000375192 OS=Homo sapiens PE=2 SV=1
discard	CHS.43145	chr5:73334810-73337272:+	4e-18	BAE91108.1, unnamed protein product [Macaca fascicularis]	7.99e-17	sp|Q8N7I0|GVQW1_HUMAN, Protein GVQW1 OS=Homo sapiens GN=GVQW1 PE=2 SV=1
discard	CHS.43206	chr5:76774205-76818438:-	6e-84	AAK21302.1, FKSG49 [Homo sapiens]	-	-
non-coding	CHS.43209	chr5:76811225-76818337:+	2e-23	EAX05948.1, hCG2027609 [Homo sapiens]	-	-
discard	CHS.43214	chr5:76984300-77010575:+	4e-21	CAE98662.1, unnamed protein product, partial [Homo sapiens]	3.24e-19	sp|Q8N2A0|CX062_HUMAN, Putative uncharacterized protein encoded by LINC00269 OS=Homo sapiens GN=LINC00269 PE=5 SV=1
non-coding	CHS.43292	chr5:81930896-81931700:+	6e-36	BAB93502.1, OK/SW-CL.41 [Homo sapiens]	1.30e-23	sp|Q8N2A0|CX062_HUMAN, Putative uncharacterized protein encoded by LINC00269 OS=Homo sapiens GN=LINC00269 PE=5 SV=1
discard	CHS.433	chr1:12512562-12523273:-	6e-43	CAD69516.1, unnamed protein product [Homo sapiens]	4.94e-40	sp|Q8N2A0|CX062_HUMAN, Putative uncharacterized protein encoded by LINC00269 OS=Homo sapiens GN=LINC00269 PE=5 SV=1
discard	CHS.43402	chr5:91283620-91299104:-	2e-45	CAD69516.1, unnamed protein product [Homo sapiens]	3.53e-35	sp|Q8WTZ3|YS049_HUMAN, Zinc finger protein ENSP00000375192 OS=Homo sapiens PE=2 SV=1
discard	CHS.43406	chr5:91325054-91327784:+	2e-21	EHH60270.1, hypothetical protein EGM_11598, partial [Macaca fascicularis]	3.40e-19	sp|Q96MD7|CI085_HUMAN, Uncharacterized protein C9orf85 OS=Homo sapiens GN=C9orf85 PE=1 SV=1
non-coding	CHS.43561	chr5:108382147-108418071:+	3e-37	EHH18952.1, hypothetical protein EGK_19543, partial [Macaca mulatta]	8.32e-25	sp|Q86U02|CN165_HUMAN, Putative uncharacterized protein encoded by LINC00596 OS=Homo sapiens GN=LINC00596 PE=5 SV=1
discard	CHS.43623	chr5:112953029-112954570:+	8e-35	EAW65946.1, chromosome 14 open reading frame 126, isoform CRA_b [Homo sapiens]	-	-
discard	CHS.43798	chr5:126837009-126859960:-	3e-35	EHH60270.1, hypothetical protein EGM_11598, partial [Macaca fascicularis]	1.84e-33	sp|Q8N2A0|CX062_HUMAN, Putative uncharacterized protein encoded by LINC00269 OS=Homo sapiens GN=LINC00269 PE=5 SV=1
discard	CHS.43850	chr5:131211232-131219418:-	6e-28	EHH21360.1, hypothetical protein EGK_04398, partial [Macaca mulatta]	1.25e-19	sp|Q6B4Z3|UTY_PANTR, Histone demethylase UTY OS=Pan troglodytes GN=UTY PE=2 SV=1
non-coding	CHS.4394	chr1:208455308-208456135:-	2e-45	EHH20863.1, hypothetical protein EGK_03802, partial [Macaca mulatta]	3.60e-33	sp|Q8N2A0|CX062_HUMAN, Putative uncharacterized protein encoded by LINC00269 OS=Homo sapiens GN=LINC00269 PE=5 SV=1
coding	CHS.44033	chr5:137755136-137760973:-	2e-26	XP_004319824.1, PREDICTED: SCAN domain-containing protein 3-like [Tursiops truncatus]	9.79e-16	sp|Q6R2W3|SCND3_HUMAN, SCAN domain-containing protein 3 OS=Homo sapiens GN=ZBED9 PE=2 SV=1
non-coding	CHS.44047	chr5:138111738-138115147:+	2e-34	EAW81162.1, hCG1814203 [Homo sapiens]	1.05e-23	sp|Q8N2A0|CX062_HUMAN, Putative uncharacterized protein encoded by LINC00269 OS=Homo sapiens GN=LINC00269 PE=5 SV=1
non-coding	CHS.44064	chr5:138491229-138506171:+	6e-35	CAE90316.1, unnamed protein product [Homo sapiens]	1.03e-28	sp|Q6UX73|CP089_HUMAN, UPF0764 protein C16orf89 OS=Homo sapiens GN=C16orf89 PE=1 SV=2
discard	CHS.4415	chr1:209440539-209444409:-	4e-29	EHH16997.1, hypothetical protein EGK_13278, partial [Macaca mulatta]	8.08e-19	sp|Q86U02|CN165_HUMAN, Putative uncharacterized protein encoded by LINC00596 OS=Homo sapiens GN=LINC00596 PE=5 SV=1
discard	CHS.44226	chr5:141842941-141850501:+	6e-33	EHH64557.1, hypothetical protein EGM_17802, partial [Macaca fascicularis]	4.93e-30	sp|Q96MD7|CI085_HUMAN, Uncharacterized protein C9orf85 OS=Homo sapiens GN=C9orf85 PE=1 SV=1
non-coding	CHS.44229	chr5:141883369-141893857:+	1e-30	EHH59533.1, hypothetical protein EGM_09670, partial [Macaca fascicularis]	-	-
discard	CHS.44241	chr5:142074665-142077456:-	3e-42	AAP34472.1, LP3428 [Homo sapiens]	-	-
discard	CHS.44256	chr5:142762247-142766930:+	1e-43	EHH18371.1, hypothetical protein EGK_14950, partial [Macaca mulatta]	7.76e-30	sp|Q8N7I0|GVQW1_HUMAN, Protein GVQW1 OS=Homo sapiens GN=GVQW1 PE=2 SV=1
non-coding	CHS.44369	chr5:149642308-149647094:+	1e-16	BAB93502.1, OK/SW-CL.41 [Homo sapiens]	-	-
non-coding	CHS.44424	chr5:151161754-151168295:+	1e-21	EHH18952.1, hypothetical protein EGK_19543, partial [Macaca mulatta]	-	-
non-coding	CHS.44426	chr5:151172005-151180125:-	3e-28	EHH18952.1, hypothetical protein EGK_19543, partial [Macaca mulatta]	7.00e-19	sp|Q86U02|CN165_HUMAN, Putative uncharacterized protein encoded by LINC00596 OS=Homo sapiens GN=LINC00596 PE=5 SV=1
discard	CHS.44503	chr5:157080239-157084078:-	1e-28	EHH16412.1, hypothetical protein EGK_11692, partial [Macaca mulatta]	4.60e-23	sp|Q86U02|CN165_HUMAN, Putative uncharacterized protein encoded by LINC00596 OS=Homo sapiens GN=LINC00596 PE=5 SV=1
discard	CHS.44644	chr5:168641445-168644365:-	3e-40	AAP34472.1, LP3428 [Homo sapiens]	-	-
non-coding	CHS.44747	chr5:173045712-173047640:+	5e-28	XP_015307366.1, PREDICTED: LOW QUALITY PROTEIN: uncharacterized protein LOC102133690, partial [Macaca fascicularis]	-	-
non-coding	CHS.44776	chr5:173766734-173767304:-	4e-26	BAE89454.1, unnamed protein product [Macaca fascicularis]	-	-
discard	CHS.44799	chr5:174569696-174578480:-	2e-20	EHH64647.1, hypothetical protein EGM_17921, partial [Macaca fascicularis]	-	-
non-coding	CHS.44831	chr5:176214805-176216390:+	6e-38	AAP34472.1, LP3428 [Homo sapiens]	-	-
discard	CHS.44864	chr5:177323850-177326539:-	2e-33	EHH64647.1, hypothetical protein EGM_17921, partial [Macaca fascicularis]	3.10e-26	sp|Q6UX73|CP089_HUMAN, UPF0764 protein C16orf89 OS=Homo sapiens GN=C16orf89 PE=1 SV=2
discard	CHS.44936	chr5:179528137-179534043:-	1e-20	AAX18642.1, cell growth-inhibiting protein 48b [Homo sapiens]	-	-
discard	CHS.44960	chr5:180088423-180096129:+	2e-25	EHH64004.1, hypothetical protein EGM_17106, partial [Macaca fascicularis]	2.09e-19	sp|Q8N2A0|CX062_HUMAN, Putative uncharacterized protein encoded by LINC00269 OS=Homo sapiens GN=LINC00269 PE=5 SV=1
discard	CHS.45000	chr5:181218562-181219902:-	1e-18	CAF16051.2, unnamed protein product, partial [Homo sapiens]	-	-
coding	CHS.45227	chr6:3882056-3888857:-	4e-57	XP_014990973.1, PREDICTED: uncharacterized protein LOC106997773 [Macaca mulatta]	-	-
discard	CHS.45232	chr6:3980027-4021998:-	1e-23	EHH60270.1, hypothetical protein EGM_11598, partial [Macaca fascicularis]	1.95e-22	sp|Q8N2A0|CX062_HUMAN, Putative uncharacterized protein encoded by LINC00269 OS=Homo sapiens GN=LINC00269 PE=5 SV=1
non-coding	CHS.45292	chr6:6855442-6871100:-	4e-16	CAF17612.1, unnamed protein product, partial [Homo sapiens]	-	-
non-coding	CHS.45299	chr6:6955929-6969909:-	1e-28	EHH27543.1, hypothetical protein EGK_17760, partial [Macaca mulatta]	1.48e-23	sp|Q8WTZ3|YS049_HUMAN, Zinc finger protein ENSP00000375192 OS=Homo sapiens PE=2 SV=1
non-coding	CHS.4530	chr1:214271543-214281000:+	4e-33	EAW48014.1, hCG2030582 [Homo sapiens]	-	-
