Status	Transcript_ID	Gene_ID	Location	Transcript_Length	No_of_exons	No_of_samples	Average_TPM	Maximum_TPM	NR_Eval	NR_hit	SP_Eval	SP_hit	CDD_Eval	Pfam_Eval	CDSlen	CDSreps	CDSrepeatcov	ALU_cdcov	LINE_cdcov	GencodeCall
non-coding	CHS.44064.1	CHS.44064	chr5:138491229-138494728:+	2660	2	26	1.43242134615385	2.854339	6e-35	CAE90316.1, unnamed protein product [Homo sapiens]	1.03e-28	sp|Q6UX73|CP089_HUMAN, UPF0764 protein C16orf89 OS=Homo sapiens GN=C16orf89 PE=1 SV=2	-	-	486	SINE|Alu:292	60.1	60.1	0	SINE/Alu
non-coding	CHS.44064.5	CHS.44064	chr5:138492277-138502892:+	6410	2	13	1.30183069230769	3.144809	-	-	-	-	-	-	-	-	-	-	-	SINE/Alu
discard	CHS.8876.1	CHS.8876	chr11:61165667-61168863:-	1883	2	1	2.375128	2.375128	6e-43	AAP34472.1, LP3428 [Homo sapiens]	-	-	-	-	285	Retroposon|SVA:246	86.3	86.3	0	Retroposon/SVA
discard	CHS.24683.1	CHS.24683	chr18:54687379-54688659:-	778	2	3	1.61474733333333	2.063752	3e-42	EHH60270.1, hypothetical protein EGM_11598, partial [Macaca fascicularis]	1.73e-32	sp|Q8N976|YG039_HUMAN, Putative uncharacterized protein FLJ38264 OS=Homo sapiens PE=5 SV=1	-	-	312	DNA|hAT-Charlie:26,SINE|Alu:286	100.0	91.7	0	SINE/Alu;DNA/hAT-Charlie
discard	CHS.38203.1	CHS.38203	chr3:124749750-124752064:+	2127	2	1	1.70062	1.70062	2e-51	EAW93653.1, hCG2038420, partial [Homo sapiens]	-	-	-	-	420	Retroposon|SVA:420	100.0	100.0	0	Retroposon/SVA
discard	CHS.21589.1	CHS.21589	chr17:20684393-20686085:+	1644	2	1	2.061727	2.061727	2e-41	EAW51232.1, hCG1820357 [Homo sapiens]	-	-	-	-	222	Retroposon|SVA:222	100.0	100.0	0	Retroposon/SVA
coding	CHS.16275.2	CHS.16275	chr14:95320194-95322798:+	2517	2	1	1.427937	1.427937	5e-47	XP_016782179.1, PREDICTED: chromosome alignment-maintaining phosphoprotein 1-like [Pan troglodytes]	-	-	-	-	-	-	-	-	-	-
non-coding	CHS.31852.1	CHS.31852	chr2:205882198-205882604:-	407	1	8	9.065015375	35.965855	2e-32	EHH25734.1, hypothetical protein EGK_15555, partial [Macaca mulatta]	5.00e-28	sp|Q86U02|CN165_HUMAN, Putative uncharacterized protein encoded by LINC00596 OS=Homo sapiens GN=LINC00596 PE=5 SV=1	-	-	279	SINE|Alu:252	90.3	90.3	0	SINE/Alu
coding	CHS.58817.1	CHS.58817	chrX:134523909-134532418:+	6956	2	4	2.29020025	4.330962	5e-31	EHH18952.1, hypothetical protein EGK_19543, partial [Macaca mulatta]	3.63e-19	sp|Q86U02|CN165_HUMAN, Putative uncharacterized protein encoded by LINC00596 OS=Homo sapiens GN=LINC00596 PE=5 SV=1	0.00271564	-	300	SINE|Alu:234	78.0	78.0	0	SINE/Alu
discard	CHS.56924.1	CHS.56924	chr9:129469596-129472073:+	2192	2	6	1.23274133333333	2.035603	1e-24	CAD33407.1, unnamed protein product [Homo sapiens]	8.88e-19	sp|Q8N2A0|CX062_HUMAN, Putative uncharacterized protein encoded by LINC00269 OS=Homo sapiens GN=LINC00269 PE=5 SV=1	-	-	387	SINE|Alu:304,SINE|MIR:16	82.7	78.6	0	SINE/Alu;SINE/MIR
discard	CHS.26729.1	CHS.26729	chr19:40180229-40183167:-	2778	2	1	1.675795	1.675795	6e-25	EHH24426.1, hypothetical protein EGK_08082, partial [Macaca mulatta]	3.71e-18	sp|Q6UX73|CP089_HUMAN, UPF0764 protein C16orf89 OS=Homo sapiens GN=C16orf89 PE=1 SV=2	-	-	267	SINE|Alu:195	73.0	73.0	0	SINE/Alu
coding	CHS.57339.1	CHS.57339	chrUn_GL000216v2:39261-42359:+	1015	2	1	2.657043	2.657043	2e-19	EFB25698.1, hypothetical protein PANDA_003603, partial [Ailuropoda melanoleuca]	-	-	-	-	-	-	-	-	-	Satellite
discard	CHS.2124.1	CHS.2124	chr1:87633310-87635612:-	1183	2	2	0.932558	1.542594	4e-28	CAF16051.2, unnamed protein product, partial [Homo sapiens]	1.09e-18	sp|Q6UX73|CP089_HUMAN, UPF0764 protein C16orf89 OS=Homo sapiens GN=C16orf89 PE=1 SV=2	-	-	348	SINE|Alu:203,DNA|hAT-Charlie:49	72.4	58.3	0	SINE/Alu;DNA/hAT-Charlie
non-coding	CHS.49747.1	CHS.49747	chr7:2476900-2484302:+	7403	1	573	3.31072737347295	15.425454	3e-42	EHH50883.1, hypothetical protein EGM_01778, partial [Macaca fascicularis]	2.08e-36	sp|Q8N2A0|CX062_HUMAN, Putative uncharacterized protein encoded by LINC00269 OS=Homo sapiens GN=LINC00269 PE=5 SV=1	-	-	528	SINE|Alu:306,SINE|MIR:16	61.0	58.0	0	SINE/Alu;SINE/MIR
discard	CHS.17233.1	CHS.17233	chr15:44241540-44245543:+	797	2	1	1.32844	1.32844	2e-25	EHH66749.1, hypothetical protein EGM_03798, partial [Macaca fascicularis]	3.60e-21	sp|Q86U02|CN165_HUMAN, Putative uncharacterized protein encoded by LINC00596 OS=Homo sapiens GN=LINC00596 PE=5 SV=1	-	-	264	SINE|Alu:220	83.3	83.3	0	SINE/Alu
discard	CHS.58665.1	CHS.58665	chrX:119876905-119884344:+	2161	2	1	1.65122	1.65122	1e-24	XP_014202723.1, PREDICTED: protein GVQW1-like, partial [Pan paniscus]	3.96e-22	sp|Q8N7I0|GVQW1_HUMAN, Protein GVQW1 OS=Homo sapiens GN=GVQW1 PE=2 SV=1	-	-	264	SINE|Alu:248	93.9	93.9	0	SINE/Alu
discard	CHS.20914.1	CHS.20914	chr17:1265997-1268302:-	2306	1	1	0.338295	0.338295	2e-30	EHH50766.1, hypothetical protein EGM_01641 [Macaca fascicularis]	3.91e-23	sp|Q86U02|CN165_HUMAN, Putative uncharacterized protein encoded by LINC00596 OS=Homo sapiens GN=LINC00596 PE=5 SV=1	-	-	255	SINE|Alu:234	91.8	91.8	0	SINE/Alu
coding	CHS.6678.6	CHS.6678	chr10:85154785-85160303:+	5349	2	10	1.6790552	2.758319	3e-56	CAF15144.1, unnamed protein product, partial [Homo sapiens]	1.29e-54	sp|Q53H47|SETMR_HUMAN, Histone-lysine N-methyltransferase SETMAR OS=Homo sapiens GN=SETMAR PE=1 SV=2	-	-	-	-	-	-	-	DNA/TcMar-Mariner
non-coding	CHS.19146.1	CHS.19146	chr16:13831466-13835542:+	789	2	12	1.42321941666667	1.966096	9e-28	BAH12795.1, unnamed protein product [Homo sapiens]	5.38e-19	sp|Q86U02|CN165_HUMAN, Putative uncharacterized protein encoded by LINC00596 OS=Homo sapiens GN=LINC00596 PE=5 SV=1	-	-	219	SINE|Alu:219	100.0	100.0	0	SINE/Alu
discard	CHS.48505.1	CHS.48505	chr6_GL000251v2_alt:3330121-3331737:-	1440	2	3	1.34826233333333	2.704578	6e-25	AAM46782.1, hepatocellular carcinoma-associated antigen HCA25a [Homo sapiens]	-	-	-	-	363	Retroposon|SVA:363	100.0	100.0	0	Retroposon/SVA
coding	CHS.55640.3	CHS.55640	chr9:65384755-65392394:+	2832	3	52	1.95405619230769	5.479699	1e-73	CAI16776.1, family with sequence similarity 27, member E2 [Homo sapiens]	2.13e-50	sp|Q08E93|F27E3_HUMAN, Protein FAM27E3 OS=Homo sapiens GN=FAM27E3 PE=1 SV=1	1.04172e-16	3.00E-38	-	-	-	-	-	Simple_repeat;Low_complexity;Satellite/centr
coding	CHS.55640.10	CHS.55640	chr9:65389172-65392344:+	2998	2	37	2.04210297297297	5.019142	1e-73	CAI16776.1, family with sequence similarity 27, member E2 [Homo sapiens]	2.13e-50	sp|Q08E93|F27E3_HUMAN, Protein FAM27E3 OS=Homo sapiens GN=FAM27E3 PE=1 SV=1	1.04172e-16	3.00E-38	-	-	-	-	-	Simple_repeat;Low_complexity;Satellite/centr
coding	CHS.55640.2	CHS.55640	chr9:65384749-65392373:+	2992	2	12	2.85662391666667	6.033441	1e-73	CAI16776.1, family with sequence similarity 27, member E2 [Homo sapiens]	2.13e-50	sp|Q08E93|F27E3_HUMAN, Protein FAM27E3 OS=Homo sapiens GN=FAM27E3 PE=1 SV=1	1.04172e-16	3.00E-38	-	-	-	-	-	Simple_repeat;Low_complexity;Satellite/centr
discard	CHS.54337.3	CHS.54337	chr8:121743668-121758192:-	960	3	6	1.7865175	2.233596	2e-34	EHH18952.1, hypothetical protein EGK_19543, partial [Macaca mulatta]	6.21e-21	sp|Q86U02|CN165_HUMAN, Putative uncharacterized protein encoded by LINC00596 OS=Homo sapiens GN=LINC00596 PE=5 SV=1	-	-	219	SINE|Alu:219	100.0	100.0	0	SINE/Alu
discard	CHS.54391.1	CHS.54391	chr8:124431349-124433182:+	1798	2	1	1.1566	1.1566	2e-71	AAK21302.1, FKSG49 [Homo sapiens]	-	-	-	-	837	Retroposon|SVA:837	100.0	100.0	0	Retroposon/SVA
non-coding	CHS.52673.1	CHS.52673	chr8:9119541-9126298:-	2591	2	34	1.23156617647059	2.273452	2e-16	EAW65432.1, hCG2038442, partial [Homo sapiens]	-	-	-	-	258	SINE|Alu:254	98.4	98.4	0	SINE/Alu
non-coding	CHS.29645.3	CHS.29645	chr2:64273785-64291781:+	900	2	222	3.07276463063063	16.336708	3e-35	EHH20232.1, hypothetical protein EGK_03041, partial [Macaca mulatta]	1.87e-25	sp|Q8N976|YG039_HUMAN, Putative uncharacterized protein FLJ38264 OS=Homo sapiens PE=5 SV=1	-	-	-	-	-	-	-	SINE/Alu
non-coding	CHS.29645.1	CHS.29645	chr2:64273684-64299858:+	6492	2	24	1.47670375	3.689073	3e-35	EHH20232.1, hypothetical protein EGK_03041, partial [Macaca mulatta]	1.87e-25	sp|Q8N976|YG039_HUMAN, Putative uncharacterized protein FLJ38264 OS=Homo sapiens PE=5 SV=1	-	-	297	SINE|Alu:269	90.6	90.6	0	SINE/Alu
non-coding	CHS.55255.1	CHS.55255	chr9:27069812-27081800:+	3407	2	13	1.32600030769231	3.151177	3e-23	BAB21923.1, hypothetical protein [Macaca fascicularis]	-	-	-	-	231	SINE|Alu:227	98.3	98.3	0	SINE/Alu
coding	CHS.59337.1	CHS.59337	chrY:22815955-22822521:-	1915	2	3	1.037019	2.241493	7e-27	CAF15944.1, unnamed protein product, partial [Homo sapiens]	-	-	-	-	-	-	-	-	-	Satellite
discard	CHS.6172.1	CHS.6172	chr10:50010721-50014465:-	3585	2	1	1.195609	1.195609	3e-25	EAW56745.1, zinc finger protein 30 homolog (mouse), partial [Homo sapiens]	6.71e-20	sp|Q86U02|CN165_HUMAN, Putative uncharacterized protein encoded by LINC00596 OS=Homo sapiens GN=LINC00596 PE=5 SV=1	-	-	396	SINE|Alu:209	52.8	52.8	0	SINE/Alu
non-coding	CHS.5063.1	CHS.5063	chr1:241481739-241496133:+	14395	1	777	4.73824177348777	26.858805	1e-33	EHH54354.1, hypothetical protein EGM_15176, partial [Macaca fascicularis]	7.12e-27	sp|Q8WTZ3|YS049_HUMAN, Zinc finger protein ENSP00000375192 OS=Homo sapiens PE=2 SV=1	-	-	600	Simple_repeat:40,SINE|Alu:240	46.7	40.0	0	SINE/Alu;Simple_repeat
discard	CHS.18185.1	CHS.18185	chr15:88551764-88553108:-	943	2	1	1.655469	1.655469	6e-37	AAP34472.1, LP3428 [Homo sapiens]	-	-	-	-	205	Retroposon|SVA:205	100.0	100.0	0	Retroposon/SVA
discard	CHS.35712.1	CHS.35712	chr22:36050417-36053419:-	2396	2	7	1.05649771428571	2.478846	2e-39	EHH17280.1, hypothetical protein EGK_13646, partial [Macaca mulatta]	5.38e-27	sp|Q6B4Z3|UTY_PANTR, Histone demethylase UTY OS=Pan troglodytes GN=UTY PE=2 SV=1	-	-	447	SINE|Alu:418	93.5	93.5	0	SINE/Alu
non-coding	CHS.41325.1	CHS.41325	chr4:128627785-128635345:-	6149	2	81	1.52541234567901	5.355372	-	-	-	-	-	-	-	-	-	-	-	SINE/Alu
non-coding	CHS.41325.2	CHS.41325	chr4:128630952-128644268:-	2001	2	4	0.6841225	1.166021	9e-23	EHH16412.1, hypothetical protein EGK_11692, partial [Macaca mulatta]	8.07e-21	sp|Q6UX73|CP089_HUMAN, UPF0764 protein C16orf89 OS=Homo sapiens GN=C16orf89 PE=1 SV=2	-	-	189	SINE|Alu:189	100.0	100.0	0	SINE/Alu
discard	CHS.57992.1	CHS.57992	chrX:49102608-49111424:-	4196	2	1	1.707344	1.707344	2e-30	EAW81162.1, hCG1814203 [Homo sapiens]	2.51e-24	sp|Q8N976|YG039_HUMAN, Putative uncharacterized protein FLJ38264 OS=Homo sapiens PE=5 SV=1	-	-	402	SINE|Alu:381,Simple_repeat:21	100.0	94.8	0	SINE/Alu;Simple_repeat
discard	CHS.19499.1	CHS.19499	chr16:29613885-29617890:+	1106	2	4	1.19072725	1.286736	2e-32	EHH66749.1, hypothetical protein EGM_03798, partial [Macaca fascicularis]	7.30e-26	sp|Q86U02|CN165_HUMAN, Putative uncharacterized protein encoded by LINC00596 OS=Homo sapiens GN=LINC00596 PE=5 SV=1	-	-	285	SINE|Alu:219	76.8	76.8	0	SINE/Alu
discard	CHS.56086.1	CHS.56086	chr9:93038355-93052001:-	9053	2	1	2.284989	2.284989	7e-41	EHH60697.1, hypothetical protein EGM_18538, partial [Macaca fascicularis]	2.69e-31	sp|Q8N7I0|GVQW1_HUMAN, Protein GVQW1 OS=Homo sapiens GN=GVQW1 PE=2 SV=1	-	-	399	SINE|Alu:303	75.9	75.9	0	SINE/Alu
coding	CHS.33255.1	CHS.33255	chr20:30811899-30815080:+	2484	2	1	1.0235	1.0235	1e-21	EAW68899.1, hCG1999152, isoform CRA_a [Homo sapiens]	-	-	0.00778858	-	-	-	-	-	-	Satellite;Low_complexity;Simple_repeat
coding	CHS.33255.6	CHS.33255	chr20:30811899-30815352:+	3454	1	1970	2.70973565786802	16.953011	9e-46	EAW57711.1, hCG1993104, partial [Homo sapiens]	-	-	-	-	-	-	-	-	-	Satellite;Low_complexity;Simple_repeat
non-coding	CHS.19036.2	CHS.19036	chr16:8875154-8878248:-	2601	2	13	1.80753930769231	3.016184	1e-28	EHH18962.1, hypothetical protein EGK_19562, partial [Macaca mulatta]	1.04e-22	sp|Q86U02|CN165_HUMAN, Putative uncharacterized protein encoded by LINC00596 OS=Homo sapiens GN=LINC00596 PE=5 SV=1	-	-	333	SINE|Alu:239,Simple_repeat:85	97.3	71.8	0	SINE/Alu;Simple_repeat
discard	CHS.14057.2	CHS.14057	chr13:49592800-49594479:+	1410	2	1	5.374317	5.374317	2e-41	AAP34472.1, LP3428 [Homo sapiens]	-	-	-	-	237	Retroposon|SVA:237	100.0	100.0	0	Retroposon/SVA
discard	CHS.56251.2	CHS.56251	chr9:98940893-98943083:-	940	2	3	1.54296533333333	1.66403	2e-23	AAG35479.1, PRO0898 [Homo sapiens]	-	-	-	-	255	SINE|Alu:255	100.0	100.0	0	SINE/Alu
discard	CHS.36091.1	CHS.36091	chr22:45461158-45465552:-	1031	2	2	1.221724	1.464553	7e-22	EAW68605.1, hCG1820850 [Homo sapiens]	3.31e-16	sp|Q8WTZ3|YS049_HUMAN, Zinc finger protein ENSP00000375192 OS=Homo sapiens PE=2 SV=1	-	-	222	SINE|Alu:222	100.0	100.0	0	SINE/Alu
non-coding	CHS.55909.1	CHS.55909	chr9:85453503-85454436:+	840	2	147	4.55558214965986	13.709828	1e-36	BAE91091.1, unnamed protein product [Macaca fascicularis]	9.72e-26	sp|Q6UX73|CP089_HUMAN, UPF0764 protein C16orf89 OS=Homo sapiens GN=C16orf89 PE=1 SV=2	-	-	312	SINE|Alu:244	78.2	78.2	0	SINE/Alu
non-coding	CHS.29359.1	CHS.29359	chr2:44075976-44077012:+	1037	1	15	9.2071114	72.691002	2e-23	CAF17222.1, unnamed protein product, partial [Homo sapiens]	-	-	-	-	291	SINE|Alu:266	91.4	91.4	0	SINE/Alu
coding	CHS.57347.5	CHS.57347	chrUn_GL000219v1:173059-176042:-	2984	1	301	3.81846273754153	39.890697	5e-34	EAW55841.1, hCG2038218, partial [Homo sapiens]	-	-	-	-	-	-	-	-	-	Satellite
non-coding	CHS.38430.1	CHS.38430	chr3:134342685-134343014:+	330	1	6	7.17430833333333	34.198887	5e-19	BAE90965.1, unnamed protein product [Macaca fascicularis]	-	-	-	-	183	SINE|Alu:183	100.0	100.0	0	SINE/Alu
discard	CHS.50946.1	CHS.50946	chr7:75237741-75242172:+	2040	2	2	1.2627025	2.246995	4e-30	EHH22620.1, hypothetical protein EGK_05928, partial [Macaca mulatta]	1.54e-23	sp|A0A096LPI5|GVQW2_HUMAN, Protein GVQW2 OS=Homo sapiens GN=GVQW2 PE=4 SV=1	-	-	354	SINE|Alu:354	100.0	100.0	0	SINE/Alu
non-coding	CHS.54935.2	CHS.54935	chr9:44062-56675:-	5667	2	1249	3.39341513370697	31.016125	1e-23	EHH16041.1, hypothetical protein EGK_11270 [Macaca mulatta]	3.49e-20	sp|Q86U02|CN165_HUMAN, Putative uncharacterized protein encoded by LINC00596 OS=Homo sapiens GN=LINC00596 PE=5 SV=1	-	-	498	SINE|Alu:212,Low_complexity:195,DNA|hAT-Charlie:68	95.4	42.6	0	SINE/Alu;Low_complexity;DNA/hAT-Charlie
non-coding	CHS.54935.1	CHS.54935	chr9:43941-57105:-	6851	2	188	1.81623201595745	9.783941	1e-23	EHH16041.1, hypothetical protein EGK_11270 [Macaca mulatta]	3.49e-20	sp|Q86U02|CN165_HUMAN, Putative uncharacterized protein encoded by LINC00596 OS=Homo sapiens GN=LINC00596 PE=5 SV=1	-	-	498	SINE|Alu:212,Low_complexity:195,DNA|hAT-Charlie:68	95.4	42.6	0	SINE/Alu;Low_complexity;DNA/hAT-Charlie
non-coding	CHS.14221.1	CHS.14221	chr13:63397128-63459362:+	831	2	94	2.7435149787234	9.071527	-	-	-	-	-	-	-	-	-	-	-	SINE/Alu
non-coding	CHS.14221.2	CHS.14221	chr13:63397140-63422344:+	2532	2	5	1.6461546	2.327473	2e-19	EHH59533.1, hypothetical protein EGM_09670, partial [Macaca fascicularis]	-	-	-	-	252	SINE|Alu:248	98.4	98.4	0	SINE/Alu
coding	CHS.42775.2	CHS.42775	chr5:49643669-49646560:-	526	3	1	41.192421	41.192421	9e-32	EGV91149.1, hypothetical protein I79_026257 [Cricetulus griseus]	-	-	-	-	-	-	-	-	-	Satellite/centr
coding	CHS.42775.5	CHS.42775	chr5:49645824-49646560:-	737	1	1	18.982607	18.982607	2e-22	EGV91149.1, hypothetical protein I79_026257 [Cricetulus griseus]	-	-	-	-	-	-	-	-	-	Satellite/centr
coding	CHS.42769.1	CHS.42769	chr5:47524344-47526458:+	416	2	1	3.489158	3.489158	2e-31	EGV91149.1, hypothetical protein I79_026257 [Cricetulus griseus]	-	-	-	-	-	-	-	-	-	Satellite/centr
non-coding	CHS.22040.1	CHS.22040	chr17:38864079-38864759:-	681	1	4	78.388249	179.170975	5e-16	CAF16575.1, unnamed protein product, partial [Homo sapiens]	-	-	-	-	210	SINE|Alu:209	99.5	99.5	0	SINE/Alu
discard	CHS.23699.1	CHS.23699	chr17_GL000258v2_alt:1188847-1201342:+	5691	2	2	2.2395705	2.420104	6e-33	BAC04924.1, unnamed protein product [Homo sapiens]	2.59e-19	sp|Q8WTZ3|YS049_HUMAN, Zinc finger protein ENSP00000375192 OS=Homo sapiens PE=2 SV=1	-	-	291	SINE|Alu:262	90.0	90.0	0	SINE/Alu
non-coding	CHS.56585.1	CHS.56585	chr9:115939390-115964954:+	9134	2	221	1.98172509502262	4.909157	9e-26	CAE91723.1, unnamed protein product [Homo sapiens]	3.22e-23	sp|Q86U02|CN165_HUMAN, Putative uncharacterized protein encoded by LINC00596 OS=Homo sapiens GN=LINC00596 PE=5 SV=1	-	-	279	SINE|MIR:45,SINE|Alu:234	100.0	83.9	0	SINE/Alu;SINE/MIR
non-coding	CHS.56585.2	CHS.56585	chr9:115939588-115949522:+	172	2	122	1.84254145081967	6.664308	-	-	-	-	-	-	-	-	-	-	-	SINE/Alu;SINE/MIR
discard	CHS.21200.1	CHS.21200	chr17:7547003-7548846:+	1756	2	5	0.8915266	1.24359	3e-28	CAJ42752.1, unnamed protein product [Homo sapiens]	-	-	-	-	216	SINE|Alu:216	100.0	100.0	0	SINE/Alu
non-coding	CHS.1166.1	CHS.1166	chr1:34948445-34948924:+	480	1	819	2.50790953846154	16.448515	4e-44	AAP34472.1, LP3428 [Homo sapiens]	-	-	-	-	222	Retroposon|SVA:222	100.0	100.0	0	Retroposon/SVA
non-coding	CHS.17129.3	CHS.17129	chr15:40869452-40872018:-	634	2	2	8.6338255	15.512872	-	-	-	-	-	-	-	-	-	-	-	SINE/Alu
non-coding	CHS.17129.1	CHS.17129	chr15:40866851-40872019:-	3666	2	16	0.970614125	2.47141	7e-43	EHH20863.1, hypothetical protein EGK_03802, partial [Macaca mulatta]	6.67e-36	sp|Q8N2A0|CX062_HUMAN, Putative uncharacterized protein encoded by LINC00269 OS=Homo sapiens GN=LINC00269 PE=5 SV=1	-	-	603	SINE|Alu:602	99.8	99.8	0	SINE/Alu
non-coding	CHS.10505.1	CHS.10505	chr11:134551785-134556172:-	4388	1	1	570.741333	570.741333	2e-16	CAF15934.1, unnamed protein product, partial [Homo sapiens]	-	-	-	-	339	SINE|Alu:179,Low_complexity:49	67.3	52.8	0	SINE/Alu;Low_complexity
non-coding	CHS.10505.2	CHS.10505	chr11:134552967-134556168:-	2836	2	5	47.6686756	72.351807	1e-15	CAF15934.1, unnamed protein product, partial [Homo sapiens]	-	-	-	-	339	SINE|Alu:179,Low_complexity:49	67.3	52.8	0	SINE/Alu;Low_complexity
non-coding	CHS.36224.1	CHS.36224	chr22:49988882-49993299:-	1698	2	19	1.94774273684211	4.463122	4e-38	AAP34472.1, LP3428 [Homo sapiens]	-	-	-	-	222	Retroposon|SVA:222	100.0	100.0	0	Retroposon/SVA
non-coding	CHS.36224.2	CHS.36224	chr22:49988882-49993299:-	1826	2	11	2.13932454545455	4.623596	4e-38	AAP34472.1, LP3428 [Homo sapiens]	-	-	-	-	222	Retroposon|SVA:222	100.0	100.0	0	Retroposon/SVA
non-coding	CHS.19099.2	CHS.19099	chr16:11532554-11546043:+	13490	1	303	2.66345927392739	22.920309	1e-35	EHH60270.1, hypothetical protein EGM_11598, partial [Macaca fascicularis]	9.47e-30	sp|Q8WTZ3|YS049_HUMAN, Zinc finger protein ENSP00000375192 OS=Homo sapiens PE=2 SV=1	-	-	552	DNA|hAT-Charlie:176,SINE|Alu:299	86.1	54.2	0	SINE/Alu;DNA/hAT-Charlie
non-coding	CHS.8130.1	CHS.8130	chr11:12596239-12596634:-	396	1	3	20.3088553333333	32.429813	1e-28	EHH61898.1, hypothetical protein EGM_20022, partial [Macaca fascicularis]	8.64e-23	sp|Q6UX73|CP089_HUMAN, UPF0764 protein C16orf89 OS=Homo sapiens GN=C16orf89 PE=1 SV=2	-	-	198	SINE|Alu:198	100.0	100.0	0	SINE/Alu
discard	CHS.4101.1	CHS.4101	chr1:199077195-199081094:-	608	2	2	1.185558	1.281134	4e-27	EHH52072.1, hypothetical protein EGM_12441, partial [Macaca fascicularis]	1.20e-17	sp|Q96MD7|CI085_HUMAN, Uncharacterized protein C9orf85 OS=Homo sapiens GN=C9orf85 PE=1 SV=1	-	-	342	SINE|Alu:252	73.7	73.7	0	SINE/Alu
non-coding	CHS.38072.1	CHS.38072	chr3:117413187-117421870:+	2665	2	24	1.49963995833333	2.718375	1e-29	EHH16412.1, hypothetical protein EGK_11692, partial [Macaca mulatta]	1.86e-24	sp|Q86U02|CN165_HUMAN, Putative uncharacterized protein encoded by LINC00596 OS=Homo sapiens GN=LINC00596 PE=5 SV=1	-	-	225	SINE|Alu:216	96.0	96.0	0	SINE/Alu
discard	CHS.47935.1	CHS.47935	chr6:158861174-158863049:-	1856	2	5	0.9276058	1.429055	8e-27	EAW99473.1, hCG2038249, partial [Homo sapiens]	-	-	-	-	255	SINE|Alu:255	100.0	100.0	0	SINE/Alu
discard	CHS.35302.1	CHS.35302	chr22:21902017-21908156:+	1536	2	5	1.6938396	3.967964	9e-31	EHH59533.1, hypothetical protein EGM_09670, partial [Macaca fascicularis]	7.24e-16	sp|Q96MD7|CI085_HUMAN, Uncharacterized protein C9orf85 OS=Homo sapiens GN=C9orf85 PE=1 SV=1	-	-	249	SINE|Alu:241	96.8	96.8	0	SINE/Alu
discard	CHS.52167.1	CHS.52167	chr7:149057115-149065754:-	872	2	1	2.144565	2.144565	6e-23	EHH18371.1, hypothetical protein EGK_14950, partial [Macaca mulatta]	7.07e-19	sp|Q86U02|CN165_HUMAN, Putative uncharacterized protein encoded by LINC00596 OS=Homo sapiens GN=LINC00596 PE=5 SV=1	-	-	267	SINE|Alu:206,Simple_repeat:32	89.1	77.2	0	SINE/Alu;Simple_repeat
non-coding	CHS.35870.1	CHS.35870	chr22:39247946-39248740:-	795	1	44	4.09853704545455	24.70314	3e-18	CAD61445.1, unnamed protein product, partial [Homo sapiens]	-	-	-	-	237	SINE|Alu:233	98.3	98.3	0	SINE/Alu
discard	CHS.7350.1	CHS.7350	chr10:119490677-119499062:-	1928	2	1	1.102666	1.102666	3e-46	EHH20863.1, hypothetical protein EGK_03802, partial [Macaca mulatta]	1.88e-36	sp|Q8WTZ3|YS049_HUMAN, Zinc finger protein ENSP00000375192 OS=Homo sapiens PE=2 SV=1	-	-	324	SINE|Alu:314	96.9	96.9	0	SINE/Alu
non-coding	CHS.49280.1	CHS.49280	chr6_GL000255v2_alt:2324288-2326155:-	1868	1	26	19.618024	140.316254	6e-42	AAP34472.1, LP3428 [Homo sapiens]	-	-	-	-	222	Retroposon|SVA:222	100.0	100.0	0	Retroposon/SVA
non-coding	CHS.1252.1	CHS.1252	chr1:37791468-37793391:-	1924	1	165	1.40447656969697	14.180558	3e-16	EAX08724.1, hCG2038303, partial [Homo sapiens]	-	-	-	-	294	SINE|Alu:228	77.6	77.6	0	SINE/Alu
coding	CHS.57338.1	CHS.57338	chrUn_GL000216v2:5180-10578:-	1131	2	2	1.9778775	2.347919	5e-17	CAF00752.1, unnamed protein product, partial [Homo sapiens]	-	-	-	-	-	-	-	-	-	Satellite
discard	CHS.42836.1	CHS.42836	chr5:55214248-55218498:+	767	2	1	2.02852	2.02852	1e-28	EHH61346.1, hypothetical protein EGM_19342, partial [Macaca fascicularis]	8.27e-20	sp|Q8N976|YG039_HUMAN, Putative uncharacterized protein FLJ38264 OS=Homo sapiens PE=5 SV=1	-	-	246	SINE|Alu:246	100.0	100.0	0	SINE/Alu
discard	CHS.29138.1	CHS.29138	chr2:31855256-31863804:-	4048	2	2	3.8171265	5.533639	2e-25	EHH58869.1, hypothetical protein EGM_08825, partial [Macaca fascicularis]	2.21e-20	sp|Q6UX73|CP089_HUMAN, UPF0764 protein C16orf89 OS=Homo sapiens GN=C16orf89 PE=1 SV=2	-	-	276	SINE|Alu:266	96.4	96.4	0	SINE/Alu
non-coding	CHS.32556.1	CHS.32556	chr2:239417574-239417895:+	322	1	77	3.74094677922078	17.870323	7e-40	EHH60270.1, hypothetical protein EGM_11598, partial [Macaca fascicularis]	1.57e-30	sp|Q8WTZ3|YS049_HUMAN, Zinc finger protein ENSP00000375192 OS=Homo sapiens PE=2 SV=1	-	-	286	SINE|Alu:276	96.5	96.5	0	SINE/Alu
